title,artist,link
Homage to Ernest Hemingway (Circa 1967),Michael Docherty,https://collections.ed.ac.uk/art/record/20750?highlight=*:*
Unknown (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21904?highlight=*:*
Reclining Female Nude (1953),Mary Edmond,https://collections.ed.ac.uk/art/record/20895?highlight=*:*
Portrait of a Man (1951),James Wilson,https://collections.ed.ac.uk/art/record/21226?highlight=*:*
Seated Female Nude (1953),Laura Nye,https://collections.ed.ac.uk/art/record/21117?highlight=*:*
Beginning (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21926?highlight=*:*
Portrait of a Man (1959),Jean I. Beattie,https://collections.ed.ac.uk/art/record/20919?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53647?highlight=*:*
Unknown (1953),Maurice Chamberlain,https://collections.ed.ac.uk/art/record/50559?highlight=*:*
Untitled - Portrait of a Girl (1963),L. Allan,https://collections.ed.ac.uk/art/record/99383?highlight=*:*
Untitled - Figure Drawing of A Woman Sitting on the Side of a Chair (1964-1965),Gordon Bryce,https://collections.ed.ac.uk/art/record/99274?highlight=*:*
Untitled (1984),Unknown,https://collections.ed.ac.uk/art/record/21602?highlight=*:*
Fish in a Whirlpool (1953),Hans Jelinek,https://collections.ed.ac.uk/art/record/21653?highlight=*:*
Lucius Junius Brutus,NA,https://collections.ed.ac.uk/art/record/20561?highlight=*:*
Untitled (Unknown),S J Dooley,https://collections.ed.ac.uk/art/record/99911?highlight=*:*
Untitled (2007),Vikki Hill,https://collections.ed.ac.uk/art/record/99966?highlight=*:*
Trafalgar Square (1963),Unknown,https://collections.ed.ac.uk/art/record/21773?highlight=*:*
Shell-Shapes (1989),Dorothy Black,https://collections.ed.ac.uk/art/record/21973?highlight=*:*
Unknown (1969),Brent D. Millar,https://collections.ed.ac.uk/art/record/50378?highlight=*:*
Espresso Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53682?highlight=*:*
Standing Male Nude Leaning on Plinth (1959),James C. Y. Gavin,https://collections.ed.ac.uk/art/record/20876?highlight=*:*
Standing Male Nude (1959),Lys Hansen,https://collections.ed.ac.uk/art/record/20955?highlight=*:*
Untitled (1969),Rosemary Hamblin,https://collections.ed.ac.uk/art/record/22004?highlight=*:*
Untitled,John Nichol,https://collections.ed.ac.uk/art/record/112448?highlight=*:*
Unknown (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21867?highlight=*:*
